Done preprocessing!
-------- TRAINING PARAMS --------
dtype: float32
verbose: True
wgt_init: random
init_sig: 0.0001
p_dropout: 0.0
n_features: 3072
n_classes: 10
n_hidden_nodes: [50, 30, 20, 20, 10, 10, 10, 10]
batch_norm: False
batch_norm_momentum: 0.7
-------- TRAINING PARAMS --------
Weightings and bias are initialized with random method.
--------- Train Schedule ---------
ncycle:  2
n_epoch:  20
step_size:  2250
iter_per_epoch:  450
n_step_per_cycle:  5
weight_decay:  0.005
--------- Train Schedule ---------
Train Time used: 3 	 Loss: 2.303 | Train Acc: 10.031% (4514/45000)
[Evaluate] Valid. Acc.: 9.720% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.940% (4473/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.733% (4380/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 4 	 Loss: 2.303 | Train Acc: 9.793% (4407/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.753% (4389/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.793% (4407/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 4 	 Loss: 2.303 | Train Acc: 9.720% (4374/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.691% (4361/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.838% (4427/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.964% (4484/45000)
[Evaluate] Valid. Acc.: 9.200% 	 Test Acc.: 10.000%
Train Time used: 4 	 Loss: 2.303 | Train Acc: 10.096% (4543/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 4 	 Loss: 2.303 | Train Acc: 10.000% (4500/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.764% (4394/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.807% (4413/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 4 	 Loss: 2.303 | Train Acc: 9.753% (4389/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 4 	 Loss: 2.303 | Train Acc: 9.793% (4407/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.720% (4374/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.691% (4361/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.838% (4427/45000)
[Evaluate] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
Train Time used: 3 	 Loss: 2.303 | Train Acc: 9.964% (4484/45000)
[Evaluate] Valid. Acc.: 9.200% 	 Test Acc.: 10.000%
[Result] Valid. Acc.: 9.760% 	 Test Acc.: 10.000%
